long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
80.771797,7.873054,Sri Lanka,LK,2011-07-31T00:00:00Z,84,525,48,53
43.679291,33.223191,Iraq,IQ,2011-07-31T00:00:00Z,49,277,30,50
113.921327,-0.789275,Indonesia,ID,2011-07-31T00:00:00Z,2,341,,35
108.277199,14.058324,Vietnam,VN,2011-07-31T00:00:00Z,10,40,27,51
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-07-31T00:00:00Z,33,84,,
69.345116,30.375321,Pakistan,PK,2011-07-31T00:00:00Z,2,68,,4
95.956223,21.913965,Burma,MM,2011-07-31T00:00:00Z,,41,,1
35.2,31.8833,Palestinian Authority,PS,2011-07-31T00:00:00Z,3,10,11,6
,,Other,,2011-07-31T00:00:00Z,124,590,44,79
67.709953,33.93911,Afghanistan,AF,2011-05-20T00:00:00Z,33,1833,18,255
53.688046,32.427908,Iran,IR,2011-05-20T00:00:00Z,268,1053,117,162
80.771797,7.873054,Sri Lanka,LK,2011-05-20T00:00:00Z,85,589,46,53
43.679291,33.223191,Iraq,IQ,2011-05-20T00:00:00Z,69,393,44,67
113.921327,-0.789275,Indonesia,ID,2011-05-20T00:00:00Z,2,306,,47
108.277199,14.058324,Vietnam,VN,2011-05-20T00:00:00Z,10,39,27,60
95.956223,21.913965,Burma,MM,2011-05-20T00:00:00Z,,93,,2
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-05-20T00:00:00Z,19,66,1,
69.345116,30.375321,Pakistan,PK,2011-05-20T00:00:00Z,,70,,4
47.481766,29.31166,Kuwait,KW,2011-05-20T00:00:00Z,1,20,,2
,,Other,,2011-05-20T00:00:00Z,141,557,70,107
67.709953,33.93911,Afghanistan,AF,2011-04-15T00:00:00Z,36,1916,23,283
53.688046,32.427908,Iran,IR,2011-04-15T00:00:00Z,259,985,111,146
80.771797,7.873054,Sri Lanka,LK,2011-04-15T00:00:00Z,70,555,36,36
43.679291,33.223191,Iraq,IQ,2011-04-15T00:00:00Z,69,397,42,69
113.921327,-0.789275,Indonesia,ID,2011-04-15T00:00:00Z,2,293,,43
79.8714212,6.9044087,Peoples Republic Of China,CN,2011-04-15T00:00:00Z,24,75,1,
95.956223,21.913965,Burma,MM,2011-04-15T00:00:00Z,,74,,3
