original-location,ourlocation,date,men,women,children
Perth Immigration Residential Housing,Perth IRH,2011-07-31T00:00:00Z,6,3,1
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-07-31T00:00:00Z,,,38
Sydney Immigration Residential Housing,Sydney IRH,2011-07-31T00:00:00Z,4,5,6
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-07-31T00:00:00Z,3,5,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-07-31T00:00:00Z,19,9,11
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-07-31T00:00:00Z,6,,41
Alternative Places of Detention (Christmas Island),,2011-07-31T00:00:00Z,166,17,29
Alternative Places of Detention (Mainland),,2011-07-31T00:00:00Z,582,242,300
Community Detention ,,2011-07-31T00:00:00Z,306,246,446
Villawood IDC,Villawood IDC,2011-05-20T00:00:00Z,307,23,
Northern IDC (Darwin),Northern IDC,2011-05-20T00:00:00Z,501,,
Maribyrnong IDC,Maribyrnong IDC,2011-05-20T00:00:00Z,86,5,
Perth IDC,Perth IDC,2011-05-20T00:00:00Z,39,,
Christmas Island IDC,north west point immigration facility,2011-05-20T00:00:00Z,1145,,
Curtin IDC,Curtin IDC,2011-05-20T00:00:00Z,1430,,
Scherger IDC,Scherger IDC,2011-05-20T00:00:00Z,589,,
Sydney Immigration Residential Housing,Sydney IRH,2011-05-20T00:00:00Z,8,8,9
Perth Immigration Residential Housing,Perth IRH,2011-05-20T00:00:00Z,5,9,1
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-05-20T00:00:00Z,14,13,15
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-05-20T00:00:00Z,14,11,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-05-20T00:00:00Z,10,,79
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-05-20T00:00:00Z,3,1,
Community Detention (Mainland),,2011-05-20T00:00:00Z,165,133,266
Community Detention (Christmas Island),,2011-05-20T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-05-20T00:00:00Z,580,345,429
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-05-20T00:00:00Z,123,80,264
Villawood IDC,Villawood IDC,2011-05-13T00:00:00Z,307,23,
Northern IDC (Darwin),Northern IDC,2011-05-13T00:00:00Z,499,,
Maribyrnong IDC,Maribyrnong IDC,2011-05-13T00:00:00Z,85,5,
Perth IDC,Perth IDC,2011-05-13T00:00:00Z,39,,
Christmas Island IDC,north west point immigration facility,2011-05-13T00:00:00Z,1146,,
Curtin IDC,Curtin IDC,2011-05-13T00:00:00Z,1430,,
Scherger IDC,Scherger IDC,2011-05-13T00:00:00Z,589,,
Sydney Immigration Residential Housing,Sydney IRH,2011-05-13T00:00:00Z,8,8,9
Perth Immigration Residential Housing,Perth IRH,2011-05-13T00:00:00Z,4,8,1
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-05-13T00:00:00Z,14,13,14
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-05-13T00:00:00Z,14,11,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-05-13T00:00:00Z,10,,72
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-05-13T00:00:00Z,2,1,
Community Detention (Mainland),,2011-05-13T00:00:00Z,175,142,279
Community Detention (Christmas Island),,2011-05-13T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-05-13T00:00:00Z,576,338,428
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-05-13T00:00:00Z,120,79,261
Villawood IDC,Villawood IDC,2011-05-06T00:00:00Z,327,24,
Northern IDC (Darwin),Northern IDC,2011-05-06T00:00:00Z,485,,
Maribyrnong IDC,Maribyrnong IDC,2011-05-06T00:00:00Z,91,7,
Perth IDC,Perth IDC,2011-05-06T00:00:00Z,46,1,
Christmas Island IDC,north west point immigration facility,2011-05-06T00:00:00Z,1127,,
Curtin IDC,Curtin IDC,2011-05-06T00:00:00Z,1296,,
Scherger IDC,Scherger IDC,2011-05-06T00:00:00Z,591,,
Sydney Immigration Residential Housing,Sydney IRH,2011-05-06T00:00:00Z,8,8,8
Perth Immigration Residential Housing,Perth IRH,2011-05-06T00:00:00Z,6,9,1
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-05-06T00:00:00Z,16,13,15
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-05-06T00:00:00Z,18,12,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-05-06T00:00:00Z,8,,97
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-05-06T00:00:00Z,,,
Community Detention (Mainland),,2011-05-06T00:00:00Z,173,138,251
Community Detention (Christmas Island),,2011-05-06T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-05-06T00:00:00Z,602,348,452
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-05-06T00:00:00Z,262,60,196
Villawood IDC,Villawood IDC,2011-04-15T00:00:00Z,361,31,
Northern IDC (Darwin),Northern IDC,2011-04-15T00:00:00Z,497,,
Maribyrnong IDC,Maribyrnong IDC,2011-04-15T00:00:00Z,87,5,
Perth IDC,Perth IDC,2011-04-15T00:00:00Z,45,1,
Christmas Island IDC,north west point immigration facility,2011-04-15T00:00:00Z,1167,,
Curtin IDC,Curtin IDC,2011-04-15T00:00:00Z,1402,,
Scherger IDC,Scherger IDC,2011-04-15T00:00:00Z,562,,
Sydney Immigration Residential Housing,Sydney IRH,2011-04-15T00:00:00Z,7,7,6
Perth Immigration Residential Housing,Perth IRH,2011-04-15T00:00:00Z,5,8,1
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-04-15T00:00:00Z,19,14,17
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-04-15T00:00:00Z,21,15,24
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-04-15T00:00:00Z,9,,102
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-04-15T00:00:00Z,1,,
Community Detention (Mainland),,2011-04-15T00:00:00Z,106,75,156
Community Detention (Christmas Island),,2011-04-15T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-04-15T00:00:00Z,603,359,500
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-04-15T00:00:00Z,302,114,242
Villawood IDC,Villawood IDC,2011-03-11T00:00:00Z,332,26,
Northern IDC (Darwin),Northern IDC,2011-03-11T00:00:00Z,478,,
Maribyrnong IDC,Maribyrnong IDC,2011-03-11T00:00:00Z,70,10,
Perth IDC,Perth IDC,2011-03-11T00:00:00Z,48,1,
Christmas Island IDC,north west point immigration facility,2011-03-11T00:00:00Z,1831,,
Curtin IDC,Curtin IDC,2011-03-11T00:00:00Z,1197,,
Scherger IDC,Scherger IDC,2011-03-11T00:00:00Z,299,,
Sydney Immigration Residential Housing,Sydney IRH,2011-03-11T00:00:00Z,14,9,10
Perth Immigration Residential Housing,Perth IRH,2011-03-11T00:00:00Z,4,5,7
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-03-11T00:00:00Z,21,16,17
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-03-11T00:00:00Z,18,9,15
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-03-11T00:00:00Z,9,,125
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-03-11T00:00:00Z,3,1,
Community Detention (Mainland),,2011-03-11T00:00:00Z,84,57,87
Community Detention (Christmas Island),,2011-03-11T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2011-03-11T00:00:00Z,472,344,516
"Alternative Temporary Detention in the Community
(Christmas Island)",,2011-03-11T00:00:00Z,291,140,253
Villawood IDC,Villawood IDC,2011-02-18T00:00:00Z,358,23,
