original-location,ourlocation,date,men,women,children
Community Detention (Mainland),,2010-02-12T00:00:00Z,12,1,6
Community Detention (Christmas Island),,2010-02-12T00:00:00Z,3,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-02-12T00:00:00Z,11,1,13
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-02-12T00:00:00Z,119,51,144
Villawood IDC,Villawood IDC,2010-01-29T00:00:00Z,131,9,
Northern IDC (Darwin),Northern IDC,2010-01-29T00:00:00Z,43,,
Maribyrnong IDC,Maribyrnong IDC,2010-01-29T00:00:00Z,48,13,
Perth IDC,Perth IDC,2010-01-29T00:00:00Z,28,1,
Christmas Island IDC,north west point immigration facility,2010-01-29T00:00:00Z,1303,,
Sydney Immigration Residential Housing,Sydney IRH,2010-01-29T00:00:00Z,17,6,3
Perth Immigration Residential Housing,Perth IRH,2010-01-29T00:00:00Z,7,2,2
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-01-29T00:00:00Z,,2,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-01-29T00:00:00Z,2,,13
Community Detention (Mainland),,2010-01-29T00:00:00Z,11,1,6
Community Detention (Christmas Island),,2010-01-29T00:00:00Z,3,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-01-29T00:00:00Z,12,1,15
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-01-29T00:00:00Z,118,55,112
Villawood IDC,Villawood IDC,2010-01-22T00:00:00Z,122,9,
Northern IDC (Darwin),Northern IDC,2010-01-22T00:00:00Z,44,,
Maribyrnong IDC,Maribyrnong IDC,2010-01-22T00:00:00Z,40,11,
Perth IDC,Perth IDC,2010-01-22T00:00:00Z,33,2,
Christmas Island IDC,north west point immigration facility,2010-01-22T00:00:00Z,1352,,
Sydney Immigration Residential Housing,Sydney IRH,2010-01-22T00:00:00Z,14,5,1
Perth Immigration Residential Housing,Perth IRH,2010-01-22T00:00:00Z,5,2,5
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-01-22T00:00:00Z,,1,19
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-01-22T00:00:00Z,4,,27
Community Detention (Mainland),,2010-01-22T00:00:00Z,11,1,6
Community Detention (Christmas Island),,2010-01-22T00:00:00Z,3,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-01-22T00:00:00Z,21,2,17
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-01-22T00:00:00Z,119,57,100
Villawood IDC,Villawood IDC,2010-01-08T00:00:00Z,121,16,
Northern IDC (Darwin),Northern IDC,2010-01-08T00:00:00Z,29,,
Maribyrnong IDC,Maribyrnong IDC,2010-01-08T00:00:00Z,26,4,
Perth IDC,Perth IDC,2010-01-08T00:00:00Z,28,2,
Christmas Island IDC,north west point immigration facility,2010-01-08T00:00:00Z,1362,,
Sydney Immigration Residential Housing,Sydney IRH,2010-01-08T00:00:00Z,14,3,1
Perth Immigration Residential Housing,Perth IRH,2010-01-08T00:00:00Z,8,,2
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-01-08T00:00:00Z,7,3,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-01-08T00:00:00Z,4,,32
Community Detention (Mainland),,2010-01-08T00:00:00Z,11,1,6
Community Detention (Christmas Island),,2010-01-08T00:00:00Z,3,2,3
Alternative Temporary Detention in the Community (Mainland),,2010-01-08T00:00:00Z,18,1,10
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-01-08T00:00:00Z,122,48,108
Villawood IDC,Villawood IDC,2009-07-17T00:00:00Z,143,22,
Northern IDC (Darwin),Northern IDC,2009-07-17T00:00:00Z,1,0,
Maribyrnong IDC,Maribyrnong IDC,2009-07-17T00:00:00Z,21,3,
Perth IDC,Perth IDC,2009-07-17T00:00:00Z,13,,
Christmas Island IDC,north west point immigration facility,2009-07-17T00:00:00Z,566,,
Sydney Immigration Residential Housing,Sydney IRH,2009-07-17T00:00:00Z,11,2,1
Perth Immigration Residential Housing,Perth IRH,2009-07-17T00:00:00Z,15,,3
Brisbane Immigration Transit Accommodation,Brisbane ITA,2009-07-17T00:00:00Z,23,,0
Melbourne Immigration Transit Accommodation,Melbourne ITA,2009-07-17T00:00:00Z,2,,0
Community Detention (Mainland),,2009-07-17T00:00:00Z,12,4,5
Community Detention (Christmas Island),,2009-07-17T00:00:00Z,7,4,25
Alternative Temporary Detention in the Community (Mainland),,2009-07-17T00:00:00Z,22,1,1
"Alternative Temporary Detention in the Community
(Christmas Island)",,2009-07-17T00:00:00Z,22,20,48
Christmas Island IDC,north west point immigration facility,2012-06-30T00:00:00Z,754,,
Curtin IDC,Curtin IDC,2012-06-30T00:00:00Z,899,,
Maribyrnong IDC,Maribyrnong IDC,2012-06-30T00:00:00Z,81,8,
Northern IDC (Darwin),Northern IDC,2012-06-30T00:00:00Z,50,,
Perth IDC,Perth IDC,2012-06-30T00:00:00Z,32,3,
Scherger IDC,Scherger IDC,2012-06-30T00:00:00Z,420,,
Villawood IDC,Villawood IDC,2012-06-30T00:00:00Z,260,33,
Wickham Point IDC,Wickham Point IDC,2012-06-30T00:00:00Z,1292,,
Yongah Hill IDC,Yongah Hill IDC,2012-06-30T00:00:00Z,88,,
Perth Immigration Residential Housing,Perth IRH,2012-06-30T00:00:00Z,5,,2
Port Augusta Immigration Residential Housing,Port Augusta IRH,2012-06-30T00:00:00Z,17,,
Sydney Immigration Residential Housing,Sydney IRH,2012-06-30T00:00:00Z,11,5,4
Adelaide Immigration Transit Accommodation,Adelaide ITA,2012-06-30T00:00:00Z,13,8,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2012-06-30T00:00:00Z,37,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2012-06-30T00:00:00Z,65,1,2
Alternative Places of Detention (Christmas Island),,2012-06-30T00:00:00Z,429,70,223
Alternative Places of Detention (Mainland),,2012-06-30T00:00:00Z,476,167,360
Christmas Island IDC,north west point immigration facility,2012-05-31T00:00:00Z,764,,
Curtin IDC,Curtin IDC,2012-05-31T00:00:00Z,830,,
Maribyrnong IDC,Maribyrnong IDC,2012-05-31T00:00:00Z,86,9,
Northern IDC (Darwin),Northern IDC,2012-05-31T00:00:00Z,88,,
Perth IDC,Perth IDC,2012-05-31T00:00:00Z,18,,
Scherger IDC,Scherger IDC,2012-05-31T00:00:00Z,379,,
Villawood IDC,Villawood IDC,2012-05-31T00:00:00Z,237,41,
Wickham Point IDC,Wickham Point IDC,2012-05-31T00:00:00Z,1038,,
Perth Immigration Residential Housing,Perth IRH,2012-05-31T00:00:00Z,6,,
Port Augusta Immigration Residential Housing,Port Augusta IRH,2012-05-31T00:00:00Z,16,,
Sydney Immigration Residential Housing,Sydney IRH,2012-05-31T00:00:00Z,15,7,6
Adelaide Immigration Transit Accommodation,Adelaide ITA,2012-05-31T00:00:00Z,1,,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2012-05-31T00:00:00Z,49,1,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2012-05-31T00:00:00Z,56,,
Alternative Places of Detention (Christmas Island),,2012-05-31T00:00:00Z,72,38,117
Alternative Places of Detention (Mainland),,2012-05-31T00:00:00Z,468,171,393
Christmas Island IDC,north west point immigration facility,2012-03-31T00:00:00Z,128,,
Curtin IDC,Curtin IDC,2012-03-31T00:00:00Z,950,,
Maribyrnong IDC,Maribyrnong IDC,2012-03-31T00:00:00Z,72,9,
Northern IDC (Darwin),Northern IDC,2012-03-31T00:00:00Z,118,1,
Perth IDC,Perth IDC,2012-03-31T00:00:00Z,21,5,
Pontville IDC,Pontville IDC,2012-03-31T00:00:00Z,,,
Scherger IDC,Scherger IDC,2012-03-31T00:00:00Z,427,,
Villawood IDC,Villawood IDC,2012-03-31T00:00:00Z,291,44,
Wickham Point IDC,Wickham Point IDC,2012-03-31T00:00:00Z,822,1,
Perth Immigration Residential Housing,Perth IRH,2012-03-31T00:00:00Z,5,,2
Port Augusta Immigration Residential Housing,Port Augusta IRH,2012-03-31T00:00:00Z,16,,
Sydney Immigration Residential Housing,Sydney IRH,2012-03-31T00:00:00Z,14,6,5
Adelaide Immigration Transit Accommodation,Adelaide ITA,2012-03-31T00:00:00Z,4,1,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2012-03-31T00:00:00Z,27,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2012-03-31T00:00:00Z,71,,1
Alternative Places of Detention (Christmas Island),,2012-03-31T00:00:00Z,5,3,32
Alternative Places of Detention (Mainland),,2012-03-31T00:00:00Z,529,199,388
Christmas Island IDC,north west point immigration facility,2012-02-29T00:00:00Z,551,,
Curtin IDC,Curtin IDC,2012-02-29T00:00:00Z,956,,
Maribyrnong IDC,Maribyrnong IDC,2012-02-29T00:00:00Z,78,15,
Northern IDC (Darwin),Northern IDC,2012-02-29T00:00:00Z,193,,
Perth IDC,Perth IDC,2012-02-29T00:00:00Z,32,,
Pontville IDC,Pontville IDC,2012-02-29T00:00:00Z,132,,
Scherger IDC,Scherger IDC,2012-02-29T00:00:00Z,272,,
Villawood IDC,Villawood IDC,2012-02-29T00:00:00Z,292,52,
Wickham Point IDC,Wickham Point IDC,2012-02-29T00:00:00Z,468,,
Perth Immigration Residential Housing,Perth IRH,2012-02-29T00:00:00Z,6,,1
Port Augusta Immigration Residential Housing,Port Augusta IRH,2012-02-29T00:00:00Z,,,
Sydney Immigration Residential Housing,Sydney IRH,2012-02-29T00:00:00Z,13,8,7
Adelaide Immigration Transit Accommodation,Adelaide ITA,2012-02-29T00:00:00Z,7,2,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2012-02-29T00:00:00Z,45,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2012-02-29T00:00:00Z,67,,1
Alternative Places of Detention (Christmas Island),,2012-02-29T00:00:00Z,488,67,236
Alternative Places of Detention (Mainland),,2012-02-29T00:00:00Z,528,175,251
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
>>>>>>> 396ff909e7d33254729996bd40afbda04c8f7aa8,,,,,
