Nationality,Code,Date,Female,Male,Child-Female,Child-Male
Iran,IR,2010-12-17T00:00:00Z,177,701,74,121
Sri Lanka,LK,2010-12-17T00:00:00Z,70,577,38,37
Iraq,IQ,2010-12-17T00:00:00Z,63,402,29,59
Indonesia,ID,2010-12-17T00:00:00Z,2,283,,45
Burma,MM,2010-12-17T00:00:00Z,1,84,1,6
"China, Peoples Republic Of",CN,2010-12-17T00:00:00Z,19,63,,
Pakistan,PK,2010-12-17T00:00:00Z,,35,,1
Vietnam,VN,2010-12-17T00:00:00Z,4,27,2,3
Kuwait,KW,2010-12-17T00:00:00Z,1,25,,1
Other,,2010-12-17T00:00:00Z,158,749,86,104
Afghanistan,AF,2010-11-19T00:00:00Z,26,1986,19,342
Iran,IR,2010-11-19T00:00:00Z,155,598,56,97
Sri Lanka,LK,2010-11-19T00:00:00Z,70,585,37,37
Iraq,IQ,2010-11-19T00:00:00Z,54,374,30,55
Indonesia,ID,2010-11-19T00:00:00Z,3,249,,34
Burma,MM,2010-11-19T00:00:00Z,1,86,1,5
"China, Peoples Republic Of",CN,2010-11-19T00:00:00Z,18,52,,
Vietnam,VN,2010-11-19T00:00:00Z,6,29,2,3
Pakistan,PK,2010-11-19T00:00:00Z,,34,,1
Kuwait,KW,2010-11-19T00:00:00Z,1,28,,2
Other,,2010-11-19T00:00:00Z,137,693,83,85
Afghanistan,AF,2010-10-29T00:00:00Z,24,1968,20,340
Iran,IR,2010-10-29T00:00:00Z,125,538,55,91
Sri Lanka,LK,2010-10-29T00:00:00Z,39,515,21,23
Iraq,IQ,2010-10-29T00:00:00Z,44,315,27,44
Indonesia,ID,2010-10-29T00:00:00Z,,232,,34
Burma,MM,2010-10-29T00:00:00Z,1,87,1,7
"China, Peoples Republic Of",CN,2010-10-29T00:00:00Z,22,64,,1
Vietnam,VN,2010-10-29T00:00:00Z,8,31,2,3
Pakistan,PK,2010-10-29T00:00:00Z,,30,,1
Kuwait,KW,2010-10-29T00:00:00Z,1,20,,2
Other,,2010-10-29T00:00:00Z,127,638,62,63
Afghanistan,AF,2010-09-30T00:00:00Z,27,1823,21,315
Sri Lanka,LK,2010-09-30T00:00:00Z,39,524,21,24
Iran,IR,2010-09-30T00:00:00Z,82,400,37,67
Iraq,IQ,2010-09-30T00:00:00Z,33,277,19,31
Indonesia,ID,2010-09-30T00:00:00Z,3,202,,32
"China, Peoples Republic Of",CN,2010-09-30T00:00:00Z,21,69,,
Burma,MM,2010-09-30T00:00:00Z,1,66,1,3
Vietnam,VN,2010-09-30T00:00:00Z,5,35,2,3
Malaysia,MY,2010-09-30T00:00:00Z,6,24,,
Pakistan,PK,2010-09-30T00:00:00Z,,29,,1
Other,,2010-09-30T00:00:00Z,102,546,47,53
Afghanistan,AF,2010-08-27T00:00:00Z,30,1856,25,323
Sri Lanka,LK,2010-08-27T00:00:00Z,40,576,21,25
Iran,IR,2010-08-27T00:00:00Z,61,285,28,52
Iraq,IQ,2010-08-27T00:00:00Z,31,233,21,29
Indonesia,ID,2010-08-27T00:00:00Z,1,190,,30
"China, Peoples Republic Of",CN,2010-08-27T00:00:00Z,20,64,,
Burma,MM,2010-08-27T00:00:00Z,1,64,1,3
Vietnam,VN,2010-08-27T00:00:00Z,6,38,2,3
Kuwait,KW,2010-08-27T00:00:00Z,1,25,,2
Pakistan,PK,2010-08-27T00:00:00Z,,25,,1
Other,,2010-08-27T00:00:00Z,74,421,25,37
Afghanistan,AF,2010-07-30T00:00:00Z,33,1830,28,346
Sri Lanka,LK,2010-07-30T00:00:00Z,40,605,22,25
Iran,IR,2010-07-30T00:00:00Z,59,228,25,57
Iraq,IQ,2010-07-30T00:00:00Z,31,227,23,38
Indonesia,ID,2010-07-30T00:00:00Z,,192,,35
"China, Peoples Republic Of",CN,2010-07-30T00:00:00Z,16,69,,
Burma,MM,2010-07-30T00:00:00Z,1,63,1,3
Vietnam,VN,2010-07-30T00:00:00Z,5,36,2,3
Malaysia,MY,2010-07-30T00:00:00Z,5,19,,1
Pakistan,PK,2010-07-30T00:00:00Z,,24,,1
Other,,2010-07-30T00:00:00Z,64,419,24,40
Afghanistan,AF,2010-06-25T00:00:00Z,32,1604,27,290
Sri Lanka,LK,2010-06-25T00:00:00Z,41,658,20,25
Iran,IR,2010-06-25T00:00:00Z,41,197,14,35
Iraq,IQ,2010-06-25T00:00:00Z,21,183,18,27
Indonesia,ID,2010-06-25T00:00:00Z,,168,,33
"China, Peoples Republic Of",CN,2010-06-25T00:00:00Z,21,58,,
Burma,MM,2010-06-25T00:00:00Z,1,63,1,1
Vietnam,VN,2010-06-25T00:00:00Z,6,33,2,2
Pakistan,PK,2010-06-25T00:00:00Z,,18,,
Kuwait,KW,2010-06-25T00:00:00Z,,9,,1
New Zealand,NZ,2010-06-25T00:00:00Z,,10,,
Somalia,SO,2010-06-25T00:00:00Z,3,3,4,
Other,,2010-06-25T00:00:00Z,48,332,21,45
Afghanistan,AF,2010-05-28T00:00:00Z,32,1447,27,264
Sri Lanka,LK,2010-05-28T00:00:00Z,42,673,21,25
Iraq,IQ,2010-05-28T00:00:00Z,15,154,16,15
Iran,IR,2010-05-28T00:00:00Z,24,129,8,26
Indonesia,ID,2010-05-28T00:00:00Z,,158,,26
"China, Peoples Republic Of",CN,2010-05-28T00:00:00Z,28,79,,
Burma,MM,2010-05-28T00:00:00Z,1,61,1,1
Vietnam,VN,2010-05-28T00:00:00Z,3,14,,
Palestinian Authority,PS,2010-05-28T00:00:00Z,2,5,1,6
New Zealand,NZ,2010-05-28T00:00:00Z,,13,,
Pakistan,PK,2010-05-28T00:00:00Z,,13,,
Other,,2010-05-28T00:00:00Z,46,296,25,36
Afghanistan,AF,2010-04-23T00:00:00Z,26,1113,17,155
Sri Lanka,LK,2010-04-23T00:00:00Z,26,569,13,16
Iraq,IQ,2010-04-23T00:00:00Z,16,161,16,18
Indonesia,ID,2010-04-23T00:00:00Z,,135,,22
Iran,IR,2010-04-23T00:00:00Z,19,96,4,23
"China, Peoples Republic Of",CN,2010-04-23T00:00:00Z,27,74,,
Burma,MM,2010-04-23T00:00:00Z,1,47,1,1
Vietnam,VN,2010-04-23T00:00:00Z,4,14,,
Palestinian Authority,PS,2010-04-23T00:00:00Z,2,6,1,6
New Zealand,NZ,2010-04-23T00:00:00Z,,13,,
Other,,2010-04-23T00:00:00Z,41,272,22,27
Afghanistan,AF,2010-03-26T00:00:00Z,27,843,16,106
Sri Lanka,LK,2010-03-26T00:00:00Z,27,615,13,16
Iraq,IQ,2010-03-26T00:00:00Z,16,162,16,20
"China, Peoples Republic Of",CN,2010-03-26T00:00:00Z,29,83,,
Indonesia,ID,2010-03-26T00:00:00Z,,85,,22
Iran,IR,2010-03-26T00:00:00Z,12,76,4,9
Burma,MM,2010-03-26T00:00:00Z,,36,,1
Vietnam,VN,2010-03-26T00:00:00Z,3,13,,
Palestinian Authority,PS,2010-03-26T00:00:00Z,2,5,1,6
Nigeria,NG,2010-03-26T00:00:00Z,,10,,2
Other,,2010-03-26T00:00:00Z,17,199,5,8
Afghanistan,AF,2010-02-26T00:00:00Z,27,728,18,109
Sri Lanka,LK,2010-02-26T00:00:00Z,12,503,4,12
Iraq,IQ,2010-02-26T00:00:00Z,12,143,7,18
Indonesia,ID,2010-02-26T00:00:00Z,11,71,,19
"China, Peoples Republic Of",CN,2010-02-26T00:00:00Z,21,74,,
Iran,IR,2010-02-26T00:00:00Z,5,71,3,7
Malaysia,MY,2010-02-26T00:00:00Z,8,20,,
Vietnam,VN,2010-02-26T00:00:00Z,3,13,,
Burma,MM,2010-02-26T00:00:00Z,,13,,1
Nigeria,NG,2010-02-26T00:00:00Z,,8,,2
Other,,2010-02-26T00:00:00Z,13,192,4,5
Afghanistan,AF,2010-01-29T00:00:00Z,20,630,12,92
Sri Lanka,LK,2010-01-29T00:00:00Z,12,488,4,11
Iraq,IQ,2010-01-29T00:00:00Z,10,133,3,14
Iran,IR,2010-01-29T00:00:00Z,11,112,2,6
"China, Peoples Republic Of",CN,2010-01-29T00:00:00Z,13,86,,
Indonesia,ID,2010-01-29T00:00:00Z,1,70,,16
Burma,MM,2010-01-29T00:00:00Z,,36,,1
Malaysia,MY,2010-01-29T00:00:00Z,7,15,,
Vietnam,VN,2010-01-29T00:00:00Z,3,15,,
Pakistan,PK,2010-01-29T00:00:00Z,,11,,
Other,,2010-01-29T00:00:00Z,15,127,4,8
Sri Lanka,LK,2009-07-17T00:00:00Z,13,334,1,12
Afghanistan,AF,2009-07-17T00:00:00Z,1,288,6,53
"China, Peoples Republic Of",CN,2009-07-17T00:00:00Z,19,63,2,0
Iran,IR,2009-07-17T00:00:00Z,5,16,2,3
Malaysia,MY,2009-07-17T00:00:00Z,4,21,0,0
New Zealand,NZ,2009-07-17T00:00:00Z,3,15,0,0
Iraq,IQ,2009-07-17T00:00:00Z,3,12,0,0
Indonesia,ID,2009-07-17T00:00:00Z,1,13,1,0
Vietnam,VN,2009-07-17T00:00:00Z,0,10,0,0
South Korea,KR,2009-07-17T00:00:00Z,1,8,0,0
Other,,2009-07-17T00:00:00Z,6,79,1,2
